AppDevelopment,BigDataAnalysis,CloudComputing,CodingAndProgramming,DataScience,DBMS,DevOps,Languages,OperatingSystem,Others,Security,WebDevelopement
React Native,Algorithms,AWS,Applications,Machine Learning,MYSQL,GitHub,HTML and CSS,Windows,Arduino,Ethical Hacking,HTML
Android Studio,Database Management,Microsoft Azure,Design,Recurrent Neural Network(RNN),MariaDB,Prometheus,C#,Chrome OS,Raspberry Pi,Cryptography,PHP
Android SDK,Database Design,Amazon Web Services,Debugging,Convolution Neural Network(CNN),Oracle,Mesos,C++,Free BSD,Problem Solving,,Flask
Java,Modeling,DigitalOcean,Programming,matplotlib,DynamoDB,Ansible,Dart,Debian,MS-Office,,Jquery
Ruby,Big Data,IBM Cloud,Hardware,Face Detection,MongoDB,AppDynamics,Golang (Go),Mac OS,Technical Writing,,Bootstrap
Flutter,Data Analytics,Google Cloud,Coding,Linear Regression,PostgresSQL,Gitlab,Java,Fedora,Creative Thinking,,CSS
APIs,Modification,Terraform,Computing,Deep Learning,Redis,Docker,JavaScript,Deepin,Embedded C,,CSS3
XML,Analytical Skills,VMware,Troubleshooting,django,SQL,Bamboo,kotlin,Ubuntu,Blockchain,,Wow.js
,Documentation,Oracle Cloud,Network Security,scikitlearn,Firebase,Chef,MATLAB,CentOS,Excel,,AJAX
,Needs Analysis,Rackspace,Networking,sklearn,NoSQL,Puppet,MySQL,Red Hat,PCB Designing,,Angular
,Statistical Analysis,Azure,ICT (Information and Communications Technology),flask,,Jenkins,Octave,Linux,Communication,,Wordpress
,Data Mining,Google Cloud Platform,Certifications,Tensorflow,,Splunk,PHP,Solaris,Powerpoint,,Skeleton
,,GoDaddy,Development,Logistic Regression,,Bitbucket,Python,,word,,HTML5
,,Verizon Cloud,Infrastructure,Object Detection,,Dynatrace,R,,Leadership,,Laravel
,,Microsoft Azure Automation,Network Architecture,pandas,,Datadog,Ruby,,,,SASS
,,,Configuration,numpy,,Sensu,SQL,,,,LESS
,,,,Neural Network,,Kubernetes,Swift,,,,JavaScript
,,,,nlp,,Selenium,,,,,Node.js
,,,,natural language processing,,SaltStacks,,,,,Servlets
,,,,nltk,,CFEngine,,,,,JSP
,,,,sentiment analysis,,,,,,,JDBC
,,,,Computer Vision,,,,,,,Django
,,,,opencv,,,,,,,Express
,,,,,,,,,,,Vue.js
,,,,,,,,,,,Spring
